29.08.2014;русский;[ЦИТИРОВАНИЕ][C] Нелинейные волны, диссипативные структуры и катастрофы в экологии;http://www.nehudlit.ru/books/detail7239.html;ЮМ Свирежев,;0;0;nehudlit.ru;-;-;-;1987;-
29.08.2014;english;Functional redundancy supports biodiversity and ecosystem function in a closed and constant environment;http://www.esajournals.org/doi/abs/10.1890/03-3050;DL Wohl, S Arora, JR Gladstone,;0;0;Ecology,  - Eco Soc America;-;-;-;2004;-
29.08.2014;русский;[ЦИТИРОВАНИЕ][C] Замкнутая экосистеиа и хемостат. Аналогия и примеры&#39 ана‹—.—&#39 лиза;-;НС Абросов,;0;0;Журнал общей биологий,  - Изд-во Академии наук СССР.;-;-;-;1979;-
29.08.2014;русский;[ЦИТИРОВАНИЕ][C] Устойчивость биологических сообществ;-;ЮМ Свирежев, ДО Логофет,;0;0;Наука;-;-;-;1978;-
29.08.2014;русский;РЕТРОСПЕКТИВНЫЙ АНАЛИЗ ЭКОЛОГО-ЭПИДЕМИОЛОГИЧЕСКИХ ОСОБЕННОСТЕЙ ГОСПИТАЛЬНЫХ ИНФЕКЦИЙ В ОТДЕЛЕНИИ РЕАНИМАЦИИ   ;http://dep_medeiib.pnzgu.ru/files/dep_medeiib.pnzgu.ru/sbornik_tom_1.pdf#page=64;СЮ Бабаев, РВ Журавлев,;0;0; - ПРОБЛЕМЫ И    - dep_medeiib.pnzgu.ru;-;-;-;0;-
29.08.2014;english;[PDF][PDF] Direction 6 OP-31;http://catalysis.ru/resources/institute/Publishing/Report/2005/005-2005-abstracts-BOE_Novosibirsk.pdf#page=105;-;0;0;Н ПРИМЕРЕ, Ф ОЗЕРАХ - Международное рабочее совещание «  ,  - catalysis.ru;-;-;-;2005;-
29.08.2014;русский;[ЦИТИРОВАНИЕ][C] О ДОПОЛНИТЕЛЬНЫХ ВОЗМОЖНОСТЯХ ИСПОЛЬЗОВАНИЯ ПАЛЕОНТОЛОГИЧЕСКОЙ ИНФОРМАЦИИ В СТРАТИГРАФИИ;-;ВИ Будников, ВИ Будников, ВК Баранов,;0;0;Новое в стратиграфии и   ,  - Игиг;-;-;-;1978;-
29.08.2014;русский;[ЦИТИРОВАНИЕ][C] Проблемы создания биолого-технических систем жизнеобеспечения человека;-;ИИ Гительзон,;0;0;Наука, Сиб. отд-ние;-;-;-;1975;-
29.08.2014;русский;[ЦИТИРОВАНИЕ][C] Методологические основания исследования структуры и динамики экосознания в истории западноевропейской культуры;http://elib.bsu.by/handle/123456789/11985;АИ Зеленков,;0;0;elib.bsu.by;-;-;-;2003;-
29.08.2014;русский;Теоретико-методологическое обоснование механизмов государственного управления охраной окружающей среды на основе баланса вредных веществ при   ;http://eir.pstu.edu/handle/123456789/274;ЮВ Логвинов,;0;0;eir.pstu.edu;-;-;-;2010;-
